,Department,ManagementSalary,degree,deg_cent,close_cent,between_cent,page_rank,hubs,auth
0,1,0.0,44,0.043824701195219126,0.42199107500130484,0.0011237189217191091,0.0012241295199045862,0.0009442074078862408,0.0009442074079025188
1,1,,52,0.05179282868525896,0.4223599483186137,0.0011950876146088476,0.0014259510042902278,0.0014718840560429785,0.0014718840560658906
2,21,,95,0.0946215139442231,0.46148976205968867,0.006569719907493448,0.0026046348281840823,0.002679879203684685,0.002679879203556734
3,21,1.0,71,0.07071713147410358,0.44166341944834925,0.0016535722578745193,0.001833217439217386,0.002368642068753277,0.0023686420686485138
4,21,1.0,96,0.09561752988047809,0.46215187075704833,0.005547474395328747,0.0025264401879905793,0.003054683413170563,0.003054683413041945
5,25,,171,0.17031872509960158,0.5014839448640311,0.030994686545277747,0.004914163734511238,0.00401055069615932,0.004010550696113614
6,25,1.0,115,0.1145418326693227,0.4758048063776406,0.012386641327812708,0.0031459069441977044,0.002554368092440954,0.002554368092370605
7,14,0.0,72,0.07171314741035856,0.42015633119695134,0.002817676381240032,0.002002094491927767,0.001154989040087534,0.0011549890401051557
8,14,,37,0.036852589641434265,0.41315073183111933,0.0005568286780498614,0.0010592986261601346,0.0007912590910994363,0.0007912590911097721
9,14,0.0,40,0.0398406374501992,0.3561959313501615,0.0002803031336258707,0.0012025577966280005,0.0003507128487787615,0.00035071284879081344
10,9,0.0,47,0.046812749003984064,0.4424723268099762,0.0010841315897062087,0.0013026316608832497,0.0017611338771962909,0.0017611338771957225
11,14,0.0,76,0.07569721115537849,0.4312180105992807,0.003946128597153383,0.0020643381439989024,0.0015923870198780044,0.0015923870198888425
12,14,1.0,58,0.05776892430278884,0.43315085690407357,0.004715058600120529,0.0017150643281634273,0.00150029512606428,0.0015002951260792523
13,26,1.0,180,0.17928286852589642,0.503050266399265,0.023564989570690153,0.004589938693459016,0.004324930001268331,0.00432493000126501
14,4,,80,0.0796812749003984,0.44206750308919857,0.0037259048237517503,0.00216626853146504,0.0018558084929106925,0.0018558084929801752
15,17,0.0,52,0.05179282868525896,0.4298752498901192,0.0022165782904305037,0.0014574672416746283,0.0015649388930188879,0.0015649388929981974
16,34,0.0,74,0.07370517928286853,0.45799031362700854,0.0014901931148092915,0.0018696078630166895,0.002858167543935961,0.0028581675439216985
17,1,0.0,111,0.11055776892430279,0.46979074465385906,0.005220689408697425,0.0027676670389268194,0.003827900023525238,0.0038279000235317464
18,1,,56,0.055776892430278883,0.44206750308919857,0.0030757458345746745,0.001531294934348774,0.0019325047482069747,0.0019325047482352288
19,14,0.0,72,0.07171314741035856,0.4414616545239781,0.0036325777454095714,0.001890595098764893,0.002116667131338392,0.0021166671313521245
20,9,0.0,74,0.07370517928286853,0.45199231139054635,0.003890007789674941,0.0020319570887596845,0.0025474428447434592,0.0025474428447361855
21,9,1.0,138,0.13745019920318724,0.4878140140095851,0.011596720941024711,0.003662545113212042,0.004961830502940976,0.004961830502933714
22,9,0.0,15,0.014940239043824702,0.3792619944085511,5.491745109220477e-05,0.0004991589881118159,0.0003853853546200284,0.00038538535461555943
23,11,0.0,81,0.08067729083665338,0.45135897326155444,0.003255794326109252,0.002035800977072181,0.0029526786974203387,0.0029526786974496916
24,11,0.0,40,0.0398406374501992,0.39817040039266094,0.0015298632660427467,0.0012121974705968104,0.0009000889077488673,0.0009000889077623575
25,11,0.0,33,0.03286852589641434,0.4138584846907872,0.0002177655931512821,0.0009039206582156918,0.0009763017256986122,0.0009763017257194838
26,11,0.0,35,0.0348605577689243,0.3815079201551473,0.00024480314839640625,0.0009491583327602046,0.0007040334139149833,0.0007040334139355388
27,11,,63,0.06274900398406374,0.43025804174220306,0.003116899060788325,0.0017125193468837702,0.0016347335831272162,0.0016347335831651557
28,11,1.0,105,0.10458167330677291,0.46729185771421083,0.0051208380779971556,0.0025876290104658297,0.004191880339140558,0.004191880339169909
29,11,1.0,58,0.05776892430278884,0.4414616545239781,0.0014187368494272936,0.0014924485696338643,0.001756893240789804,0.0017568932408205302
30,11,,68,0.06772908366533864,0.4432842026389854,0.0016935047980990423,0.0017208445060822985,0.0023817144934461373,0.0023817144934858868
31,11,,50,0.049800796812749,0.418156452511029,0.0003986822881947071,0.0012547965824590674,0.0017154050800341088,0.0017154050800519704
32,11,0.0,35,0.0348605577689243,0.38747376172934567,0.00013100035331419784,0.0009272290903036942,0.000882562938719091,0.0008825629387410928
33,11,0.0,30,0.029880478087649404,0.39346887693525573,0.0002306047334583447,0.000838014835089916,0.0007923217378113116,0.0007923217378296934
34,11,,31,0.030876494023904383,0.38256514717062073,0.00011526841038470759,0.0008393735755338859,0.0007093198640742324,0.0007093198640898422
35,11,1.0,59,0.05876494023904382,0.4418653688856827,0.001414570520758016,0.0015023415677683871,0.0020838702316771963,0.0020838702317074924
36,11,1.0,45,0.044820717131474105,0.4325691861025014,0.00039794976213968977,0.0011462913715729562,0.0017680709994897803,0.0017680709995129065
37,11,,37,0.036852589641434265,0.38950405552317136,0.00039545369755896327,0.0010196418506762661,0.0007147548299692244,0.0007147548299871559
38,11,0.0,47,0.046812749003984064,0.4072311680375002,0.0028223677473619094,0.0013727984369846396,0.001084717906136536,0.0010847179061628676
39,11,0.0,36,0.03585657370517928,0.4039964723047609,0.00023551282896259071,0.0009560857527162207,0.0009794423675883988,0.0009794423676111118
40,11,,60,0.05976095617529881,0.4152812899669051,0.0012697538133531728,0.0015750246090755155,0.0012366082825544416,0.0012366082825870472
41,5,0.0,91,0.09063745019920319,0.46148976205968867,0.0034345995674086765,0.0022984263210046882,0.0033910569113011404,0.0033910569113478955
42,34,0.0,75,0.07470119521912351,0.4606098959737789,0.00106504985092604,0.0018319059866554839,0.00305474756949783,0.003054747569506283
43,14,0.0,14,0.013944223107569721,0.3308317568479932,1.3102796447161963e-05,0.0005070814711271429,0.0001205929387568771,0.00012059293876118183
44,14,1.0,106,0.10557768924302789,0.4648194140226013,0.010993496752490749,0.002806527476050075,0.0033464716797299596,0.0033464716797466628
45,17,,48,0.04780876494023904,0.41979129528800524,0.0018663040427111825,0.001358844750826501,0.0014765557925329616,0.0014765557925086126
46,17,0.0,73,0.07270916334661355,0.4480109233903514,0.0018927615817391713,0.0018417617833703813,0.0028244365504802027,0.0028244365504381135
47,10,1.0,51,0.05079681274900398,0.4378611516778378,0.0008163685975087617,0.0013093041418122495,0.0015156630138093974,0.0015156630138380876
48,10,0.0,59,0.05876494023904382,0.4120936297454107,0.001239702944803319,0.0015225875032186848,0.0014375872032472957,0.0014375872032581858
49,36,0.0,15,0.014940239043824702,0.36085121798095143,6.196170034468376e-05,0.0005084107263135229,0.0003489610612526019,0.000348961061249829
50,37,0.0,17,0.01693227091633466,0.3736889256585414,3.942744733149824e-05,0.0005520335839101981,0.00041918695212217374,0.0004191869521189527
51,5,0.0,69,0.06872509960159362,0.44759590632375545,0.002198051319456167,0.0018264063364603568,0.002007356842664086,0.002007356842715033
52,7,0.0,26,0.02589641434262948,0.3870082345826945,0.002829071509266525,0.0009911402292283181,0.0004900484018530684,0.0004900484018735587
53,4,0.0,40,0.0398406374501992,0.42873095020097074,0.0007326271819307704,0.0011347437461156045,0.0011480184928585593,0.0011480184928935174
54,22,,51,0.05079681274900398,0.41869998342850434,0.0004836062277410433,0.0013521465023140595,0.0014839316557340916,0.0014839316556366634
55,22,,43,0.04282868525896414,0.4236560989710601,0.0023605608411651938,0.0012816828586801852,0.0013163861392848453,0.00131638613920415
56,21,0.0,48,0.04780876494023904,0.4124453955411814,0.00045868777403926714,0.0013126831293319987,0.0012356044717313642,0.0012356044716345597
57,21,1.0,67,0.06673306772908366,0.42968410927211564,0.003102078796181446,0.00191469342832746,0.0016961784534007122,0.0016961784532827215
58,21,1.0,126,0.1254980079681275,0.47768638742115077,0.006918218893256614,0.0031358471155764557,0.004327390421348148,0.004327390421207138
59,21,0.0,53,0.052788844621513946,0.41456866656069846,0.0006158344070768875,0.0014337234670455622,0.0012529016334399841,0.0012529016333363678
60,7,,55,0.054780876494023904,0.405352165164844,0.0006586527259581002,0.0015200982278619616,0.0010443296411452214,0.0010443296412005953
